dataset,fold,test_subject,eval_sample_id,sequence_start_source_index,sequence_end_source_index,target_source_index,y_true
pamap2,1,101,147,147,156,156,0
pamap2,1,101,148,148,157,157,0
pamap2,1,101,149,149,158,158,0
pamap2,1,101,150,150,159,159,0
pamap2,1,101,151,151,160,160,0
pamap2,1,101,152,152,161,161,0
pamap2,1,101,153,153,162,162,0
pamap2,1,101,154,154,163,163,0
pamap2,1,101,155,155,164,164,0
pamap2,1,101,156,156,165,165,0
pamap2,1,101,157,157,166,166,0
pamap2,1,101,158,158,167,167,0
pamap2,1,101,159,159,168,168,0
pamap2,1,101,160,160,169,169,0
pamap2,1,101,161,161,170,170,0
pamap2,1,101,162,162,171,171,0
pamap2,1,101,163,163,172,172,0
pamap2,1,101,164,164,173,173,0
pamap2,1,101,165,165,174,174,0
pamap2,1,101,166,166,175,175,0
pamap2,1,101,167,167,176,176,0
pamap2,1,101,168,168,177,177,0
pamap2,1,101,169,169,178,178,0
pamap2,1,101,170,170,179,179,0
pamap2,1,101,171,171,180,180,0
pamap2,1,101,172,172,181,181,0
pamap2,1,101,173,173,182,182,0
pamap2,1,101,174,174,183,183,0
pamap2,1,101,175,175,184,184,0
pamap2,1,101,176,176,185,185,0
pamap2,1,101,177,177,186,186,0
pamap2,1,101,178,178,187,187,0
pamap2,1,101,179,179,188,188,0
pamap2,1,101,180,180,189,189,0
pamap2,1,101,181,181,190,190,0
pamap2,1,101,182,182,191,191,0
pamap2,1,101,183,183,192,192,0
pamap2,1,101,184,184,193,193,0
pamap2,1,101,185,185,194,194,0
pamap2,1,101,186,186,195,195,0
pamap2,1,101,187,187,196,196,0
pamap2,1,101,188,188,197,197,0
pamap2,1,101,189,189,198,198,0
pamap2,1,101,190,190,199,199,0
pamap2,1,101,191,191,200,200,0
pamap2,1,101,192,192,201,201,0
pamap2,1,101,193,193,202,202,0
pamap2,1,101,194,194,203,203,0
pamap2,1,101,195,195,204,204,0
pamap2,1,101,196,196,205,205,0
pamap2,1,101,197,197,206,206,0
pamap2,1,101,198,198,207,207,0
pamap2,1,101,199,199,208,208,0
pamap2,1,101,200,200,209,209,0
pamap2,1,101,201,201,210,210,0
pamap2,1,101,202,202,211,211,0
pamap2,1,101,203,203,212,212,0
pamap2,1,101,204,204,213,213,0
pamap2,1,101,205,205,214,214,0
pamap2,1,101,206,206,215,215,0
pamap2,1,101,207,207,216,216,0
pamap2,1,101,208,208,217,217,0
pamap2,1,101,209,209,218,218,0
pamap2,1,101,210,210,219,219,0
pamap2,1,101,211,211,220,220,0
pamap2,1,101,212,212,221,221,0
pamap2,1,101,213,213,222,222,0
pamap2,1,101,214,214,223,223,0
pamap2,1,101,215,215,224,224,0
pamap2,1,101,216,216,225,225,0
pamap2,1,101,217,217,226,226,0
pamap2,1,101,218,218,227,227,0
pamap2,1,101,219,219,228,228,0
pamap2,1,101,220,220,229,229,0
pamap2,1,101,221,221,230,230,0
pamap2,1,101,222,222,231,231,0
pamap2,1,101,223,223,232,232,0
pamap2,1,101,224,224,233,233,0
pamap2,1,101,225,225,234,234,0
pamap2,1,101,226,226,235,235,0
pamap2,1,101,227,227,236,236,0
pamap2,1,101,228,228,237,237,0
pamap2,1,101,229,229,238,238,0
pamap2,1,101,230,230,239,239,0
pamap2,1,101,231,231,240,240,0
pamap2,1,101,232,232,241,241,0
pamap2,1,101,233,233,242,242,0
pamap2,1,101,234,234,243,243,0
pamap2,1,101,235,235,244,244,0
pamap2,1,101,236,236,245,245,0
pamap2,1,101,237,237,246,246,0
pamap2,1,101,238,238,247,247,0
pamap2,1,101,239,239,248,248,0
pamap2,1,101,240,240,249,249,0
pamap2,1,101,241,241,250,250,0
pamap2,1,101,242,242,251,251,0
pamap2,1,101,243,243,252,252,0
pamap2,1,101,244,244,253,253,0
pamap2,1,101,245,245,254,254,0
pamap2,1,101,246,246,255,255,0
pamap2,1,101,247,247,256,256,0
pamap2,1,101,248,248,257,257,0
pamap2,1,101,249,249,258,258,0
pamap2,1,101,250,250,259,259,0
pamap2,1,101,251,251,260,260,0
pamap2,1,101,252,252,261,261,0
pamap2,1,101,253,253,262,262,0
pamap2,1,101,254,254,263,263,0
pamap2,1,101,255,255,264,264,0
pamap2,1,101,256,256,265,265,0
pamap2,1,101,257,257,266,266,0
pamap2,1,101,258,258,267,267,0
pamap2,1,101,259,259,268,268,0
pamap2,1,101,260,260,269,269,0
pamap2,1,101,261,261,270,270,0
pamap2,1,101,262,262,271,271,0
pamap2,1,101,263,263,272,272,0
pamap2,1,101,264,264,273,273,0
pamap2,1,101,265,265,274,274,0
pamap2,1,101,266,266,275,275,0
pamap2,1,101,267,267,276,276,0
pamap2,1,101,268,268,277,277,0
pamap2,1,101,269,269,278,278,0
pamap2,1,101,270,270,279,279,0
pamap2,1,101,271,271,280,280,0
pamap2,1,101,272,272,281,281,0
pamap2,1,101,273,273,282,282,0
pamap2,1,101,274,274,283,283,0
pamap2,1,101,275,275,284,284,0
pamap2,1,101,276,276,285,285,0
pamap2,1,101,277,277,286,286,0
pamap2,1,101,278,278,287,287,0
pamap2,1,101,279,279,288,288,0
pamap2,1,101,280,280,289,289,0
pamap2,1,101,281,281,290,290,0
pamap2,1,101,282,282,291,291,0
pamap2,1,101,283,283,292,292,0
pamap2,1,101,284,284,293,293,0
pamap2,1,101,285,285,294,294,0
pamap2,1,101,286,286,295,295,0
pamap2,1,101,287,287,296,296,0
pamap2,1,101,288,288,297,297,0
pamap2,1,101,289,289,298,298,0
pamap2,1,101,290,290,299,299,0
pamap2,1,101,291,291,300,300,0
pamap2,1,101,292,292,301,301,0
pamap2,1,101,293,293,302,302,0
pamap2,1,101,294,294,303,303,0
pamap2,1,101,295,295,304,304,0
pamap2,1,101,296,296,305,305,0
pamap2,1,101,297,297,306,306,0
pamap2,1,101,298,298,307,307,0
pamap2,1,101,299,299,308,308,0
pamap2,1,101,300,300,309,309,0
pamap2,1,101,301,301,310,310,0
pamap2,1,101,302,302,311,311,0
pamap2,1,101,303,303,312,312,0
pamap2,1,101,304,304,313,313,0
pamap2,1,101,305,305,314,314,0
pamap2,1,101,306,306,315,315,0
pamap2,1,101,307,307,316,316,0
pamap2,1,101,308,308,317,317,0
pamap2,1,101,309,309,318,318,0
pamap2,1,101,310,310,319,319,0
pamap2,1,101,311,311,320,320,0
pamap2,1,101,312,312,321,321,0
pamap2,1,101,313,313,322,322,0
pamap2,1,101,314,314,323,323,0
pamap2,1,101,315,315,324,324,0
pamap2,1,101,316,316,325,325,0
pamap2,1,101,317,317,326,326,0
pamap2,1,101,318,318,327,327,0
pamap2,1,101,319,319,328,328,0
pamap2,1,101,320,320,329,329,0
pamap2,1,101,321,321,330,330,0
pamap2,1,101,322,322,331,331,0
pamap2,1,101,323,323,332,332,0
pamap2,1,101,324,324,333,333,0
pamap2,1,101,325,325,334,334,0
pamap2,1,101,326,326,335,335,0
pamap2,1,101,327,327,336,336,0
pamap2,1,101,328,328,337,337,0
pamap2,1,101,329,329,338,338,0
pamap2,1,101,330,330,339,339,0
pamap2,1,101,331,331,340,340,0
pamap2,1,101,332,332,341,341,0
pamap2,1,101,333,333,342,342,0
pamap2,1,101,334,334,343,343,0
pamap2,1,101,335,335,344,344,0
pamap2,1,101,336,336,345,345,0
pamap2,1,101,337,337,346,346,0
pamap2,1,101,338,338,347,347,0
pamap2,1,101,339,339,348,348,0
pamap2,1,101,340,340,349,349,0
pamap2,1,101,341,341,350,350,0
pamap2,1,101,342,342,351,351,0
pamap2,1,101,343,343,352,352,0
pamap2,1,101,344,344,353,353,0
pamap2,1,101,345,345,354,354,0
pamap2,1,101,346,346,355,355,0
pamap2,1,101,347,347,356,356,0
pamap2,1,101,348,348,357,357,0
pamap2,1,101,349,349,358,358,0
pamap2,1,101,350,350,359,359,0
pamap2,1,101,351,351,360,360,0
pamap2,1,101,352,352,361,361,0
pamap2,1,101,353,353,362,362,0
pamap2,1,101,354,354,363,363,0
pamap2,1,101,355,355,364,364,0
pamap2,1,101,356,356,365,365,0
pamap2,1,101,357,357,366,366,0
pamap2,1,101,358,358,367,367,0
pamap2,1,101,359,359,368,368,0
pamap2,1,101,360,360,369,369,0
pamap2,1,101,361,361,370,370,0
pamap2,1,101,362,362,371,371,0
pamap2,1,101,363,363,372,372,0
pamap2,1,101,364,364,373,373,0
pamap2,1,101,365,365,374,374,0
pamap2,1,101,366,366,375,375,0
pamap2,1,101,367,367,376,376,0
pamap2,1,101,368,368,377,377,0
pamap2,1,101,369,369,378,378,0
pamap2,1,101,370,370,379,379,0
pamap2,1,101,371,371,380,380,0
pamap2,1,101,372,372,381,381,0
pamap2,1,101,373,373,382,382,0
pamap2,1,101,374,374,383,383,0
pamap2,1,101,375,375,384,384,0
pamap2,1,101,376,376,385,385,0
pamap2,1,101,377,377,386,386,0
pamap2,1,101,378,378,387,387,0
pamap2,1,101,379,379,388,388,0
pamap2,1,101,380,380,389,389,0
pamap2,1,101,381,381,390,390,0
pamap2,1,101,382,382,391,391,0
pamap2,1,101,383,383,392,392,0
pamap2,1,101,384,384,393,393,0
pamap2,1,101,385,385,394,394,0
pamap2,1,101,386,386,395,395,0
pamap2,1,101,387,387,396,396,0
pamap2,1,101,388,388,397,397,0
pamap2,1,101,389,389,398,398,0
pamap2,1,101,390,390,399,399,0
pamap2,1,101,391,391,400,400,0
pamap2,1,101,392,392,401,401,0
pamap2,1,101,393,393,402,402,0
pamap2,1,101,394,394,403,403,0
pamap2,1,101,395,395,404,404,0
pamap2,1,101,396,396,405,405,0
pamap2,1,101,397,397,406,406,0
pamap2,1,101,398,398,407,407,0
pamap2,1,101,399,399,408,408,0
pamap2,1,101,400,400,409,409,0
pamap2,1,101,401,401,410,410,0
pamap2,1,101,402,402,411,411,0
pamap2,1,101,403,403,412,412,0
pamap2,1,101,404,404,413,413,0
pamap2,1,101,405,405,414,414,0
pamap2,1,101,406,406,415,415,0
pamap2,1,101,407,407,416,416,0
pamap2,1,101,408,408,417,417,0
pamap2,1,101,409,409,418,418,0
pamap2,1,101,410,410,419,419,0
pamap2,1,101,411,411,420,420,0
pamap2,1,101,412,412,421,421,0
pamap2,1,101,413,413,422,422,0
pamap2,1,101,414,414,423,423,1
pamap2,1,101,415,415,424,424,1
pamap2,1,101,416,416,425,425,1
pamap2,1,101,417,417,426,426,1
pamap2,1,101,418,418,427,427,1
pamap2,1,101,419,419,428,428,1
pamap2,1,101,420,420,429,429,1
pamap2,1,101,421,421,430,430,1
pamap2,1,101,422,422,431,431,1
pamap2,1,101,423,423,432,432,1
pamap2,1,101,424,424,433,433,1
pamap2,1,101,425,425,434,434,1
pamap2,1,101,426,426,435,435,1
pamap2,1,101,427,427,436,436,1
pamap2,1,101,428,428,437,437,1
pamap2,1,101,429,429,438,438,1
pamap2,1,101,430,430,439,439,1
pamap2,1,101,431,431,440,440,1
pamap2,1,101,432,432,441,441,1
pamap2,1,101,433,433,442,442,1
pamap2,1,101,434,434,443,443,1
pamap2,1,101,435,435,444,444,1
pamap2,1,101,436,436,445,445,1
pamap2,1,101,437,437,446,446,1
pamap2,1,101,438,438,447,447,1
pamap2,1,101,439,439,448,448,1
pamap2,1,101,440,440,449,449,1
pamap2,1,101,441,441,450,450,1
pamap2,1,101,442,442,451,451,1
pamap2,1,101,443,443,452,452,1
pamap2,1,101,444,444,453,453,1
pamap2,1,101,445,445,454,454,1
pamap2,1,101,446,446,455,455,1
pamap2,1,101,447,447,456,456,1
pamap2,1,101,448,448,457,457,1
pamap2,1,101,449,449,458,458,1
pamap2,1,101,450,450,459,459,1
pamap2,1,101,451,451,460,460,1
pamap2,1,101,452,452,461,461,1
pamap2,1,101,453,453,462,462,1
pamap2,1,101,454,454,463,463,1
pamap2,1,101,455,455,464,464,1
pamap2,1,101,456,456,465,465,1
pamap2,1,101,457,457,466,466,1
pamap2,1,101,458,458,467,467,1
pamap2,1,101,459,459,468,468,1
pamap2,1,101,460,460,469,469,1
pamap2,1,101,461,461,470,470,1
pamap2,1,101,462,462,471,471,1
pamap2,1,101,463,463,472,472,1
pamap2,1,101,464,464,473,473,1
pamap2,1,101,465,465,474,474,1
pamap2,1,101,466,466,475,475,1
pamap2,1,101,467,467,476,476,1
pamap2,1,101,468,468,477,477,1
pamap2,1,101,469,469,478,478,1
pamap2,1,101,470,470,479,479,1
pamap2,1,101,471,471,480,480,1
pamap2,1,101,472,472,481,481,1
pamap2,1,101,473,473,482,482,1
pamap2,1,101,474,474,483,483,1
pamap2,1,101,475,475,484,484,1
pamap2,1,101,476,476,485,485,1
pamap2,1,101,477,477,486,486,1
pamap2,1,101,478,478,487,487,1
pamap2,1,101,479,479,488,488,1
pamap2,1,101,480,480,489,489,1
pamap2,1,101,481,481,490,490,1
pamap2,1,101,482,482,491,491,1
pamap2,1,101,483,483,492,492,1
pamap2,1,101,484,484,493,493,1
pamap2,1,101,485,485,494,494,1
pamap2,1,101,486,486,495,495,1
pamap2,1,101,487,487,496,496,1
pamap2,1,101,488,488,497,497,1
pamap2,1,101,489,489,498,498,1
pamap2,1,101,490,490,499,499,1
pamap2,1,101,491,491,500,500,1
pamap2,1,101,492,492,501,501,1
pamap2,1,101,493,493,502,502,1
pamap2,1,101,494,494,503,503,1
pamap2,1,101,495,495,504,504,1
pamap2,1,101,496,496,505,505,1
pamap2,1,101,497,497,506,506,1
pamap2,1,101,498,498,507,507,1
pamap2,1,101,499,499,508,508,1
pamap2,1,101,500,500,509,509,1
pamap2,1,101,501,501,510,510,1
pamap2,1,101,502,502,511,511,1
pamap2,1,101,503,503,512,512,1
pamap2,1,101,504,504,513,513,1
pamap2,1,101,505,505,514,514,1
pamap2,1,101,506,506,515,515,1
pamap2,1,101,507,507,516,516,1
pamap2,1,101,508,508,517,517,1
pamap2,1,101,509,509,518,518,1
pamap2,1,101,510,510,519,519,1
pamap2,1,101,511,511,520,520,1
pamap2,1,101,512,512,521,521,1
pamap2,1,101,513,513,522,522,1
pamap2,1,101,514,514,523,523,1
pamap2,1,101,515,515,524,524,1
pamap2,1,101,516,516,525,525,1
pamap2,1,101,517,517,526,526,1
pamap2,1,101,518,518,527,527,1
pamap2,1,101,519,519,528,528,1
pamap2,1,101,520,520,529,529,1
pamap2,1,101,521,521,530,530,1
pamap2,1,101,522,522,531,531,1
pamap2,1,101,523,523,532,532,1
pamap2,1,101,524,524,533,533,1
pamap2,1,101,525,525,534,534,1
pamap2,1,101,526,526,535,535,1
pamap2,1,101,527,527,536,536,1
pamap2,1,101,528,528,537,537,1
pamap2,1,101,529,529,538,538,1
pamap2,1,101,530,530,539,539,1
pamap2,1,101,531,531,540,540,1
pamap2,1,101,532,532,541,541,1
pamap2,1,101,533,533,542,542,1
pamap2,1,101,534,534,543,543,1
pamap2,1,101,535,535,544,544,1
pamap2,1,101,536,536,545,545,1
pamap2,1,101,537,537,546,546,1
pamap2,1,101,538,538,547,547,1
pamap2,1,101,539,539,548,548,1
pamap2,1,101,540,540,549,549,1
pamap2,1,101,541,541,550,550,1
pamap2,1,101,542,542,551,551,1
pamap2,1,101,543,543,552,552,1
pamap2,1,101,544,544,553,553,1
pamap2,1,101,545,545,554,554,1
pamap2,1,101,546,546,555,555,1
pamap2,1,101,547,547,556,556,1
pamap2,1,101,548,548,557,557,1
pamap2,1,101,549,549,558,558,1
pamap2,1,101,550,550,559,559,1
pamap2,1,101,551,551,560,560,1
pamap2,1,101,552,552,561,561,1
pamap2,1,101,553,553,562,562,1
pamap2,1,101,554,554,563,563,1
pamap2,1,101,555,555,564,564,1
pamap2,1,101,556,556,565,565,1
pamap2,1,101,557,557,566,566,1
pamap2,1,101,558,558,567,567,1
pamap2,1,101,559,559,568,568,1
pamap2,1,101,560,560,569,569,1
pamap2,1,101,561,561,570,570,1
pamap2,1,101,562,562,571,571,1
pamap2,1,101,563,563,572,572,1
pamap2,1,101,564,564,573,573,1
pamap2,1,101,565,565,574,574,1
pamap2,1,101,566,566,575,575,1
pamap2,1,101,567,567,576,576,1
pamap2,1,101,568,568,577,577,1
pamap2,1,101,569,569,578,578,1
pamap2,1,101,570,570,579,579,1
pamap2,1,101,571,571,580,580,1
pamap2,1,101,572,572,581,581,1
pamap2,1,101,573,573,582,582,1
pamap2,1,101,574,574,583,583,1
pamap2,1,101,575,575,584,584,1
pamap2,1,101,576,576,585,585,1
pamap2,1,101,577,577,586,586,1
pamap2,1,101,578,578,587,587,1
pamap2,1,101,579,579,588,588,1
pamap2,1,101,580,580,589,589,1
pamap2,1,101,581,581,590,590,1
pamap2,1,101,582,582,591,591,1
pamap2,1,101,583,583,592,592,1
pamap2,1,101,584,584,593,593,1
pamap2,1,101,585,585,594,594,1
pamap2,1,101,586,586,595,595,1
pamap2,1,101,587,587,596,596,1
pamap2,1,101,588,588,597,597,1
pamap2,1,101,589,589,598,598,1
pamap2,1,101,590,590,599,599,1
pamap2,1,101,591,591,600,600,1
pamap2,1,101,592,592,601,601,1
pamap2,1,101,593,593,602,602,1
pamap2,1,101,594,594,603,603,1
pamap2,1,101,595,595,604,604,1
pamap2,1,101,596,596,605,605,1
pamap2,1,101,597,597,606,606,1
pamap2,1,101,598,598,607,607,1
pamap2,1,101,599,599,608,608,1
pamap2,1,101,600,600,609,609,1
pamap2,1,101,601,601,610,610,1
pamap2,1,101,602,602,611,611,1
pamap2,1,101,603,603,612,612,1
pamap2,1,101,604,604,613,613,1
pamap2,1,101,605,605,614,614,1
pamap2,1,101,606,606,615,615,1
pamap2,1,101,607,607,616,616,1
pamap2,1,101,608,608,617,617,1
pamap2,1,101,609,609,618,618,1
pamap2,1,101,610,610,619,619,1
pamap2,1,101,611,611,620,620,1
pamap2,1,101,612,612,621,621,1
pamap2,1,101,613,613,622,622,1
pamap2,1,101,614,614,623,623,1
pamap2,1,101,615,615,624,624,1
pamap2,1,101,616,616,625,625,1
pamap2,1,101,617,617,626,626,1
pamap2,1,101,618,618,627,627,1
pamap2,1,101,619,619,628,628,1
pamap2,1,101,620,620,629,629,1
pamap2,1,101,621,621,630,630,1
pamap2,1,101,622,622,631,631,1
pamap2,1,101,623,623,632,632,1
pamap2,1,101,624,624,633,633,1
pamap2,1,101,625,625,634,634,1
pamap2,1,101,626,626,635,635,1
pamap2,1,101,627,627,636,636,1
pamap2,1,101,628,628,637,637,1
pamap2,1,101,629,629,638,638,1
pamap2,1,101,630,630,639,639,1
pamap2,1,101,631,631,640,640,1
pamap2,1,101,632,632,641,641,1
pamap2,1,101,633,633,642,642,1
pamap2,1,101,634,634,643,643,1
pamap2,1,101,635,635,644,644,1
pamap2,1,101,636,636,645,645,1
pamap2,1,101,637,637,646,646,1
pamap2,1,101,638,638,647,647,1
pamap2,1,101,639,639,648,648,1
pamap2,1,101,640,640,649,649,1
pamap2,1,101,641,641,650,650,1
pamap2,1,101,642,642,651,651,1
pamap2,1,101,643,643,652,652,1
pamap2,1,101,644,644,653,653,1
pamap2,1,101,645,645,654,654,1
pamap2,1,101,646,646,655,655,1
pamap2,1,101,647,647,656,656,1
pamap2,1,101,648,648,657,657,1
pamap2,1,101,649,649,658,658,1
pamap2,1,101,650,650,659,659,1
pamap2,1,101,651,651,660,660,1
pamap2,1,101,652,652,661,661,1
pamap2,1,101,653,653,662,662,1
pamap2,1,101,654,654,663,663,1
pamap2,1,101,655,655,664,664,1
pamap2,1,101,656,656,665,665,1
pamap2,1,101,657,657,666,666,1
pamap2,1,101,658,658,667,667,1
pamap2,1,101,659,659,668,668,1
pamap2,1,101,660,660,669,669,1
pamap2,1,101,661,661,670,670,1
pamap2,1,101,662,662,671,671,1
pamap2,1,101,663,663,672,672,1
pamap2,1,101,664,664,673,673,1
pamap2,1,101,665,665,674,674,1
pamap2,1,101,666,666,675,675,1
pamap2,1,101,667,667,676,676,1
pamap2,1,101,668,668,677,677,1
pamap2,1,101,669,669,678,678,1
pamap2,1,101,670,670,679,679,1
pamap2,1,101,671,671,680,680,1
pamap2,1,101,672,672,681,681,1
pamap2,1,101,673,673,682,682,1
pamap2,1,101,674,674,683,683,1
pamap2,1,101,675,675,684,684,1
pamap2,1,101,676,676,685,685,1
pamap2,1,101,677,677,686,686,1
pamap2,1,101,678,678,687,687,1
pamap2,1,101,679,679,688,688,1
pamap2,1,101,680,680,689,689,1
pamap2,1,101,681,681,690,690,1
pamap2,1,101,682,682,691,691,1
pamap2,1,101,683,683,692,692,1
pamap2,1,101,684,684,693,693,1
pamap2,1,101,685,685,694,694,1
pamap2,1,101,686,686,695,695,1
pamap2,1,101,687,687,696,696,1
pamap2,1,101,688,688,697,697,1
pamap2,1,101,689,689,698,698,1
pamap2,1,101,690,690,699,699,1
pamap2,1,101,691,691,700,700,1
pamap2,1,101,692,692,701,701,1
pamap2,1,101,693,693,702,702,1
pamap2,1,101,694,694,703,703,1
pamap2,1,101,695,695,704,704,1
pamap2,1,101,696,696,705,705,1
pamap2,1,101,697,697,706,706,1
pamap2,1,101,698,698,707,707,1
pamap2,1,101,699,699,708,708,1
pamap2,1,101,700,700,709,709,1
pamap2,1,101,701,701,710,710,1
pamap2,1,101,702,702,711,711,1
pamap2,1,101,703,703,712,712,1
pamap2,1,101,704,704,713,713,1
pamap2,1,101,705,705,714,714,1
pamap2,1,101,706,706,715,715,1
pamap2,1,101,707,707,716,716,1
pamap2,1,101,708,708,717,717,1
pamap2,1,101,709,709,718,718,1
pamap2,1,101,710,710,719,719,1
pamap2,1,101,711,711,720,720,1
pamap2,1,101,712,712,721,721,1
pamap2,1,101,713,713,722,722,1
pamap2,1,101,714,714,723,723,1
pamap2,1,101,715,715,724,724,1
pamap2,1,101,716,716,725,725,1
pamap2,1,101,717,717,726,726,1
pamap2,1,101,718,718,727,727,1
pamap2,1,101,719,719,728,728,1
pamap2,1,101,720,720,729,729,1
pamap2,1,101,721,721,730,730,1
pamap2,1,101,722,722,731,731,1
pamap2,1,101,723,723,732,732,1
pamap2,1,101,724,724,733,733,1
pamap2,1,101,725,725,734,734,1
pamap2,1,101,726,726,735,735,1
pamap2,1,101,727,727,736,736,1
pamap2,1,101,728,728,737,737,1
pamap2,1,101,729,729,738,738,1
pamap2,1,101,730,730,739,739,1
